Column,ID #1,Type,QuestionText,AnswerText
1,AgileBrainAlertLevel,S,AgileBrainAlertLevel: Binary flag (0 or 1) indicating 'at-risk' status if the individual falls into two predefined emotional need states that suggest vulnerability.,Yes^No
2,AgileBrainStateNumber,S,AgileBrainStateNumber: Categorical segment (1 -10) indicating the individual's emotional need profile classification based on activation patterns across the 12 core needs.,Equality Seeking^Relief-Seeking^Aspiring Agreement^Stress Revealing^Connection Craving^Amiable Optimism^Mission Questing^Diligent Struggling^Focused Striving^Cautious Concealing
3,ActivationOverall,F,ActivationOverall: Mean activation score (0-1) across All 12 needs. Reflects overall emotional intensity regardless of valence.,
4,ActivationOverall_Quartile,S,ActivationOverall_Quartile: Mean activation score (0-1) across All 12 needs. Reflects overall emotional intensity regardless of valence.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
5,ActivationFoundational,F,ActivationFoundational: Mean activation score (0-1) across Foundational-level needs. Reflects overall emotional intensity regardless of valence.,
6,ActivationFoundational_Quartile,S,ActivationFoundational_Quartile: Mean activation score (0-1) across Foundational-level needs. Reflects overall emotional intensity regardless of valence.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
7,ActivationExperiential,F,ActivationExperiential: Mean activation score (0-1) across Experiential-level needs. Reflects overall emotional intensity regardless of valence.,
8,ActivationExperiential_Quartile,S,ActivationExperiential_Quartile: Mean activation score (0-1) across Experiential-level needs. Reflects overall emotional intensity regardless of valence.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
9,ActivationAspirational,F,ActivationAspirational: Mean activation score (0-1) across Aspirational-level needs. Reflects overall emotional intensity regardless of valence.,
10,ActivationAspirational_Quartile,S,ActivationAspirational_Quartile: Mean activation score (0-1) across Aspirational-level needs. Reflects overall emotional intensity regardless of valence.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
11,ActivationSelf,F,ActivationSelf: Mean activation score (0-1) across Self domain. Reflects overall emotional intensity regardless of valence.,
12,ActivationSelf_Quartile,S,ActivationSelf_Quartile: Mean activation score (0-1) across Self domain. Reflects overall emotional intensity regardless of valence.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
13,ActivationMaterial,F,ActivationMaterial: Mean activation score (0-1) across Material domain. Reflects overall emotional intensity regardless of valence.,
14,ActivationMaterial_Quartile,S,ActivationMaterial_Quartile: Mean activation score (0-1) across Material domain. Reflects overall emotional intensity regardless of valence.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
15,ActivationSocial,F,ActivationSocial: Mean activation score (0-1) across Social domain. Reflects overall emotional intensity regardless of valence.,
16,ActivationSocial_Quartile,S,ActivationSocial_Quartile: Mean activation score (0-1) across Social domain. Reflects overall emotional intensity regardless of valence.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
17,ActivationSpiritual,F,ActivationSpiritual: Mean activation score (0-1) across Spiritual domain. Reflects overall emotional intensity regardless of valence.,
18,ActivationSpiritual_Quartile,S,ActivationSpiritual_Quartile: Mean activation score (0-1) across Spiritual domain. Reflects overall emotional intensity regardless of valence.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
19,ActivationSafety,F,ActivationSafety: Continuous score (0-1) reflecting the emotional activation for the need 'Safety'. Measures the level and valence of emotional engagement with this need.,
20,ActivationSafety_Quartile,S,ActivationSafety_Quartile: Continuous score (0-1) reflecting the emotional activation for the need 'Safety'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
21,ActivationAuthenticity,F,ActivationAuthenticity: Continuous score (0-1) reflecting the emotional activation for the need 'Authenticity'. Measures the level and valence of emotional engagement with this need.,
22,ActivationAuthenticity_Quartile,S,ActivationAuthenticity_Quartile: Continuous score (0-1) reflecting the emotional activation for the need 'Authenticity'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
23,ActivationPotential,F,ActivationPotential: Continuous score (0-1) reflecting the emotional activation for the need 'Potential'. Measures the level and valence of emotional engagement with this need.,
24,ActivationPotential_Quartile,S,ActivationPotential_Quartile: Continuous score (0-1) reflecting the emotional activation for the need 'Potential'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
25,ActivationAutonomy,F,ActivationAutonomy: Continuous score (0-1) reflecting the emotional activation for the need 'Autonomy'. Measures the level and valence of emotional engagement with this need.,
26,ActivationAutonomy_Quartile,S,ActivationAutonomy_Quartile: Continuous score (0-1) reflecting the emotional activation for the need 'Autonomy'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
27,ActivationImmersion,F,ActivationImmersion: Continuous score (0-1) reflecting the emotional activation for the need 'Immersion'. Measures the level and valence of emotional engagement with this need.,
28,ActivationImmersion_Quartile,S,ActivationImmersion_Quartile: Continuous score (0-1) reflecting the emotional activation for the need 'Immersion'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
29,ActivationSuccess,F,ActivationSuccess: Continuous score (0-1) reflecting the emotional activation for the need 'Success'. Measures the level and valence of emotional engagement with this need.,
30,ActivationSuccess_Quartile,S,ActivationSuccess_Quartile: Continuous score (0-1) reflecting the emotional activation for the need 'Success'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
31,ActivationInclusion,F,ActivationInclusion: Continuous score (0-1) reflecting the emotional activation for the need 'Inclusion'. Measures the level and valence of emotional engagement with this need.,
32,ActivationInclusion_Quartile,S,ActivationInclusion_Quartile: Continuous score (0-1) reflecting the emotional activation for the need 'Inclusion'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
33,ActivationCaring,F,ActivationCaring: Continuous score (0-1) reflecting the emotional activation for the need 'Caring'. Measures the level and valence of emotional engagement with this need.,
34,ActivationCaring_Quartile,S,ActivationCaring_Quartile: Continuous score (0-1) reflecting the emotional activation for the need 'Caring'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
35,ActivationRecognition,F,ActivationRecognition: Continuous score (0-1) reflecting the emotional activation for the need 'Recognition'. Measures the level and valence of emotional engagement with this need.,
36,ActivationRecognition_Quartile,S,ActivationRecognition_Quartile: Continuous score (0-1) reflecting the emotional activation for the need 'Recognition'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
37,ActivationJustice,F,ActivationJustice: Continuous score (0-1) reflecting the emotional activation for the need 'Justice'. Measures the level and valence of emotional engagement with this need.,
38,ActivationJustice_Quartile,S,ActivationJustice_Quartile: Continuous score (0-1) reflecting the emotional activation for the need 'Justice'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
39,ActivationEthics,F,ActivationEthics: Continuous score (0-1) reflecting the emotional activation for the need 'Ethics'. Measures the level and valence of emotional engagement with this need.,
